freq,deg_urb,coicop,unit,geo\TIME_PERIOD	1988 	1994 	1999 	2005 	2010 	2015 	2020 
A,DEG1,CP022,PM,EU15	: 	: 	: 	9 u	11 i	: 	: 
A,DEG1,CP022,PM,EU25	: 	: 	: 	10 e	11 i	: 	: 
A,DEG1,CP022,PM,EU27_2007	: 	: 	: 	10 u	11 i	: 	: 
A,DEG1,CP022,PM,FI	: 	12 	10 	7 	6 	6 	3 
A,DEG1,CP022,PM,FR	7 	: 	12 	10 	13 	13 	13 e
A,DEG1,CP022,PM,HR	: 	: 	: 	18 	19 	15 	11 
A,DEG1,CP022,PM,HU	: 	: 	: 	22 	14 	15 	12 
A,DEG1,CP022,PM,IE	: 	: 	19 	: 	17 	9 	5 
A,DEG1,CP022,PM,IT	13 	12 	10 	: 	8 	10 	9 
A,DEG1,CP022,PM,LT	: 	: 	: 	12 	8 	7 	7 
A,DEG1,CP022,PM,LU	6 	: 	9 	7 	6 	5 	2 
A,DEG1,CP022,PM,LV	: 	: 	: 	12 	15 	11 	10 
A,DEG1,CP022,PM,MT	: 	: 	: 	: 	17 	15 	15 e
A,DEG1,CP022,PM,NL	: 	: 	: 	: 	7 	17 	18 
A,DEG1,CP022,PM,NO	: 	: 	: 	10 	8 	9 	5 
A,DEG1,CP022,PM,PL	: 	: 	: 	14 	14 	10 	9 
A,DEG1,CP022,PM,PT	15 	16 	17 	15 	13 	8 	: 
A,DEG1,CP022,PM,RO	: 	: 	: 	: 	: 	45 	: 
A,DEG1,CP022,PM,SE	: 	12 	11 	6 	6 	6 	: 
A,DEG1,CP022,PM,SI	: 	: 	: 	12 	9 	8 	7 
A,DEG1,CP022,PM,SK	: 	: 	: 	14 	14 	13 	9 
A,DEG1,CP022,PM,UK	15 	21 	16 	10 	11 	7 	: 
A,DEG1,CP022,PM,XK	: 	: 	: 	: 	: 	27 	: 
A,DEG1,CP023,PM,AT	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,BE	0 	0 	: 	0 	0 	0 	0 
A,DEG1,CP023,PM,BG	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,CY	: 	: 	: 	: 	0 	0 	0 e
A,DEG1,CP023,PM,CZ	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,DE	: 	0 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,DK	: 	0 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,EA	: 	: 	: 	0 u	0 i	: 	: 
A,DEG1,CP023,PM,EA12	: 	: 	: 	0 u	0 i	: 	: 
A,DEG1,CP023,PM,EA13	: 	: 	: 	0 u	0 i	: 	: 
A,DEG1,CP023,PM,EA17	: 	: 	: 	: 	0 i	: 	: 
A,DEG1,CP023,PM,EA18	: 	: 	: 	: 	0 i	: 	: 
A,DEG1,CP023,PM,EE	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,EEA28	: 	: 	: 	0 u	0 i	: 	: 
A,DEG1,CP023,PM,EEA30_2007	: 	: 	: 	: 	0 u	: 	: 
A,DEG1,CP023,PM,EL	0 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,ES	: 	0 	0 	0 	0 	0 	0 
A,DEG1,CP023,PM,EU15	: 	: 	: 	0 u	0 i	: 	: 
A,DEG1,CP023,PM,EU25	: 	: 	: 	0 u	0 i	: 	: 
A,DEG1,CP023,PM,EU27_2007	: 	: 	: 	0 u	0 i	: 	: 
A,DEG1,CP023,PM,FI	: 	0 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,FR	0 	: 	: 	0 	0 	0 	0 e
A,DEG1,CP023,PM,HR	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,HU	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,IE	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,IT	0 	0 	: 	0 	0 	0 	0 
A,DEG1,CP023,PM,LT	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,LU	0 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,LV	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,MT	: 	: 	: 	: 	0 	0 	0 e
A,DEG1,CP023,PM,NL	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,NO	: 	: 	: 	: 	: 	0 	0 
A,DEG1,CP023,PM,PL	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,PT	0 	0 	0 	: 	0 	0 	: 
A,DEG1,CP023,PM,RO	: 	: 	: 	: 	: 	0 	: 
A,DEG1,CP023,PM,SE	: 	0 	: 	: 	0 	0 	: 
A,DEG1,CP023,PM,SI	: 	: 	: 	: 	0 	0 	0 
A,DEG1,CP023,PM,SK	: 	: 	: 	: 	0 	0 	0 
